Patent Number - Numéro du brevet|IPC Classification Sequence Number - Numéro de séquence de la classification de la CIB|IPC Version Date - Date de la version de la CIB|Classification Level - Niveau de classification|Classification Status Code - Code du statut de classification|Classification Status - Statut de classification|IPC Section Code - Code de la section de la CIB|IPC Section - Section de la CIB|IPC Class Code - Code de la classe de la CIB|IPC Class - Classe de la CIB|IPC Subclass Code - Code de la sous-classe de la CIB|IPC Subclass - Sous-classe de la CIB|IPC Main Group Code - Code du groupe principal de la CIB|IPC Group - Groupe de la CIB|IPC Subgroup Code - Code du sous-groupe de la CIB|IPC Subgroup - Sous-groupe de la CIB
58234|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|07|ORGANIC CHEMISTRY|F|ACYCLIC, CARBOCYCLIC, OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM (metal-containing porphyrins C07D0487220000;macromolecular compounds C08)|9|Compounds containing elements of Groups 5 or 15 of the Periodic System|10|Phosphatides, e.g. lecithin
69985|   4|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|23|MACHINE TOOLS; METAL-WORKING NOT OTHERWISE PROVIDED FOR|Q|DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING (tools of the kind used in lathes or boring machines B23B0027000000); MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS; COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT|11|Accessories fitted to machine tools for keeping tools or parts of the machine in good working condition or for cooling work; Safety devices specially combined with or arranged in, or specially adapted for use in connection with, machine tools (in respect of boring or drilling machines B23B0047240000, B23B0047320000 take precedence;safety devices in general F16P)|00|Accessories fitted to machine tools for keeping tools or parts of the machine in good working condition or for cooling work; Safety devices specially combined with or arranged in, or specially adapted for use in connection with, machine tools (in respect of boring or drilling machines B23B0047240000, B23B0047320000 take precedence;safety devices in general F16P)
48263|   1|2006-01-01|A|R|Reclassified data|H|ELECTRICITY|04|ELECTRIC COMMUNICATION TECHNIQUE|L|TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (arrangements common to telegraphic and telephonic communication H04M)|15|Apparatus or local circuits for transmitting or receiving dot-and-dash codes, e.g. Morse code (teaching apparatus therefor G09B;telegraph tapping keys H01H0021860000)|28|Code reproducing apparatus
13226|   1|2006-01-01|A|R|Reclassified data|D|TEXTILES; PAPER|06|TREATMENT OF TEXTILES OR THE LIKE; LAUNDERING; FLEXIBLE MATERIALS NOT OTHERWISE PROVIDED FOR|M|TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS|11|Treating fibres, threads, yarns, fabrics or fibrous goods made from such materials, with inorganic substances or complexes thereof; Such treatment combined with mechanical treatment, e.g. mercerising (D06M0010000000 takes precedence)|48|Oxides or hydroxides of chromium, molybdenum or tungsten; Chromates; Dichromates; Molybdates; Tungstates
48263|   3|2006-01-01|A|R|Reclassified data|H|ELECTRICITY|04|ELECTRIC COMMUNICATION TECHNIQUE|L|TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (arrangements common to telegraphic and telephonic communication H04M)|13|Details of the apparatus or circuits covered by groups H04L0015000000 or H04L0017000000|18|of receivers
68917|   2|2006-01-01|A|B|Basic or original data|A|HUMAN NECESSITIES|01|AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING|D|HARVESTING; MOWING|21|Digging machines with potato-picking implements|00|Digging machines with potato-picking implements
3538|   1|2006-01-01|A|R|Reclassified data|A|HUMAN NECESSITIES|23|FOODS OR FOODSTUFFS; THEIR TREATMENT, NOT COVERED BY OTHER CLASSES|B|PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS|7|Preservation or chemical ripening of fruit or vegetables|06|Blanching (machines therefor A23N0012000000)
3948|   4|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|01|PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL|F|MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING (mixing paints B44D0003060000)|3|Mixing, e.g. dispersing, emulsifying, according to the phases to be mixed|12|liquids with solids (displacing one liquid by another in dispersions of solids in liquids B01D0012000000)
8555|   1|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|01|PHYSICAL OR CHEMICAL PROCESSES OR APPARATUS IN GENERAL|J|CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS|19|Chemical, physical or physico-chemical processes in general; Their relevant apparatus|02|Apparatus characterised by being constructed of material selected for its chemically-resistant properties
5227|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|25|ELECTROLYTIC OR ELECTROPHORETIC PROCESSES; APPARATUS THEREFOR|B|ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON- METALS; APPARATUS THEREFOR (anodic or cathodic protection C23F0013000000;single-crystal growth C30B)|3|Electrolytic production of organic compounds|04|by reduction
23|   1|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|13|SUGAR INDUSTRY|K|SACCHARIDES, OTHER THAN SUCROSE, OBTAINED FROM NATURAL SOURCES OR BY HYDROLYSIS OF NATURALLY OCCURRING DI-, OLIGO- OR POLYSACCHARIDES (chemically synthesised sugars or sugar derivatives C07H;polysaccharides, e.g. starch, derivatives thereof C08B; malt C12C;fermentation or enzyme-using processes for preparing compounds containing saccharide radicals C12P0019000000)|1|Glucose (separation from invert sugar C13K0003000000); Glucose-containing syrups|02|obtained by saccharification of cellulosic materials (manufacture of fodder A23K0010320000)
48263|   2|2006-01-01|A|R|Reclassified data|B|PERFORMING OPERATIONS; TRANSPORTING|41|PRINTING; LINING MACHINES; TYPEWRITERS; STAMPS|J|TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS (composing B41B;printing on special surfaces B41F;laundry marking B41K;erasers, rubbers or erasing devices B43L0019000000;fluid media for correction of typographical errors by coating C09D0010000000;recording the results of measuring G01;recognition or presentation of data, marking record carriers in digital fashion, e.g. by punching, G06K;franking or ticket-printing and issuing apparatus G07B;electric keyboard switches, in general H01H0013700000, H03K0017940000;coding in connection with keyboards or like devices, in general H03M0011000000;receivers or transmitters for transmission of digital information H04L;transmission or reproduction of documents, or the like, e.g. facsimile transmission, H04N0001000000;printing mechanisms specially adapted for apparatus, e.g. cash registers, weighing machines, producing records of their own performance, see the relevant subclasses)|2|Typewriters or selective printing mechanisms characterised by the printing or marking process for which they are designed (mounting, arrangement, or disposition of types or dies B41J0001000000;marking methods B41M0005000000;structure or manufacture of heads, e.g. inductive, for recording by magnetisation or demagnetisation of a record carrier G11B0005127000;heads for reproducing capacitive information G11B0009070000)|03|by pressure
3535|   1|2006-01-01|A|R|Reclassified data|A|HUMAN NECESSITIES|23|FOODS OR FOODSTUFFS; THEIR TREATMENT, NOT COVERED BY OTHER CLASSES|B|PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS; CHEMICAL RIPENING OF FRUIT OR VEGETABLES; THE PRESERVED, RIPENED, OR CANNED PRODUCTS|7|Preservation or chemical ripening of fruit or vegetables|04|Freezing; Subsequent thawing; Cooling
13332|   1|2006-01-01|A|R|Reclassified data|C|CHEMISTRY; METALLURGY|01|INORGANIC CHEMISTRY|G|COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES C01D OR C01F (metal hydrides C01B0006000000;salts of oxyacids of halogens C01B0011000000;peroxides, salts of peroxyacids C01B0015000000;thiosulfates, dithionites, polythionates C01B0017640000;compounds containing selenium or tellurium C01B0019000000;binary compounds of nitrogen with metals C01B0021060000;azides C01B0021080000;metal amides C01B0021092000;nitrites C01B0021500000;phosphides C01B0025080000;salts of oxyacids of phosphorus C01B0025160000;carbides C01B0032900000;compounds containing silicon C01B0033000000;compounds containing boron C01B0035000000;compounds having molecular sieve properties but not having base-exchange properties C01B0037000000;compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites, C01B0039000000;cyanides C01C0003080000;salts of cyanic acid C01C0003140000;salts of cyanamide C01C0003160000;thiocyanates C01C0003200000;fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000;obtaining metal compounds from mixtures, e.g. ores, which are intermediate compounds in a metallurgical process for obtaining a free metal C21B, C22B;production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)|23|Compounds of titanium|02|Halides of titanium
115111|   1|2019-01-01|A|B|Basic or original data|B|PERFORMING OPERATIONS; TRANSPORTING|29|WORKING OF PLASTICS; WORKING OF SUBSTANCES IN A PLASTIC STATE IN GENERAL|C|SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (making preforms B29B0011000000;making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)|48|Extrusion moulding, i.e. expressing the moulding material through a die or nozzle which imparts the desired form; Apparatus therefor (extrusion blow-moulding B29C0049040000)|36|Means for plasticising or homogenising the moulding material or forcing it through the nozzle or die
100867|   2|2006-01-01|A|B|Basic or original data|F|MECHANICAL ENGINEERING; LIGHTING; HEATING; WEAPONS; BLASTING|01|MACHINES OR ENGINES IN GENERAL; ENGINE PLANTS IN GENERAL; STEAM ENGINES|D|NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES (combustion engines F02;machines or engines for liquids F03, F04;non-positive-displacement pumps F04D)|25|Component parts, details, or accessories, not provided for in, or of interest apart from, other groups|30|Exhaust heads, chambers, or the like
13562|   3|2006-01-01|A|B|Basic or original data|C|CHEMISTRY; METALLURGY|08|ORGANIC MACROMOLECULAR COMPOUNDS; THEIR PREPARATION OR CHEMICAL WORKING-UP; COMPOSITIONS BASED THEREON|K|USE OF INORGANIC OR NON-MACROMOLECULAR ORGANIC SUBSTANCES AS COMPOUNDING INGREDIENTS (paints, inks, varnishes, dyes, polishes, adhesives C09)|5|Use of organic ingredients|53|bound to oxygen and to carbon only
